Sequence	BLAST	Pfam	Prosite	NucPloc	Gene Ontology	Comments
ABO10831	A0A062FHM1 (Putative membrane protein OS=Acinetobacter baumannii 754286 GN=J567_0062 PE=4 SV=1)	NULL	NULL	Nuclear pore complex	NULL	Binds to conserved motif: FGIGF	
ABO12956	A0A062F778 (2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Acinetobacter baumannii 754286 GN=dapD PE=3 SV=1)	PF00132.22_Bacterial transferase hexapeptide (six repeats)	HEXAPEP_TRANSFERASES,PS00101;Hexapeptide-repeat containing-transferases signature(PATTERN)	Nucleolus	NULL	Produces an enzyme 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase. This enzyme catalyzes a reaction that is a subpathway in the lysine biosynthesis pathway.	
ABO12953	A0A062FBM1 (Sulfate/thiosulfate import ATP-binding protein CysA OS=Acinetobacter baumannii 754286 GN=cysA PE=3 SV=1)	PF00005.25_ABC transporter	ABC_TRANSPORTER_2,PS50893;ATP-binding cassette, ABC transporter-type domain profile(MATRIX)	Nucleolus	ABC transporters for a large family of proteins responsible for translocation of a variety of compounds across biological membranes.  ABC transporters are the largest family of proteins in many completely sequenced bacteria. ABC transporters are composed of two copies of this domain and two copies of a transmembrane domain Pfam:PF00664.  These four domains may belong to a single polypeptide as in Swiss:P13569, or belong in different polypeptide chains.	Produces protein sulfate/thiosulfate import ATP-binding protein cysA. It is part of the AC transporter complex CysAWTP involved in sulfate/thiosulfate import. It is responsible for energy coupling to the transport system.	
ABO10687	L9MEQ1 (Bacterial TniB protein OS=Acinetobacter sp. OIFC021 GN=ACIN5021_0241 PE=4 SV=1)	PF05621.9_Bacterial TniB protein	NULL	Nuclear pore complex	This family consists of several bacterial TniB NTP-binding proteins. TniB is a probable ATP-binding protein [1] which is involved in Tn5053 mercury resistance transposition [2].	Produces a bacterial TniB protein. It is probably an ATP-binding protein involved in Tn5053 mercury resistance transposition.	
ABO11671	A0A062F8D2 (Type I secretion membrane fusion, HlyD family protein OS=Acinetobacter baumannii 754286 GN=J567_2167 PE=4 SV=1)	PF13533.4_Biotin-lipoyl like	HLYD_FAMILY,PS00543;HlyD family secretion proteins signature(PATTERN)	Nucleolus	NULL	Produces a Type I secretion membrane fusion protein that is part of the HlyD family. It is an ABC transporter that exports proteins from cytosol to extracellular medium across inner and outer membranes. 	
ABO12180	A0A0J1CXK5 (Response regulator receiver domain protein OS=Acinetobacter baumannii MRSN 3527 GN=T630_1948 PE=4 SV=1)	PF00072.22_Response regulator receiver domain	RESPONSE_REGULATORY,PS50110;Response regulatory domain profile(MATRIX)	Nucleolus	This domain receives the signal from the sensor partner in bacterial two-component systems. It is usually found N-terminal to a DNA binding effector domain.	Produces the receiver domain of a response regulator. It detects and responds to environmental changes. Phosphorylation of the receiver domain causes a cellular response. 	
ABO11340	A0A062F961 (Efflux pump membrane family protein OS=Acinetobacter baumannii 754286 GN=J567_0574 PE=4 SV=1)	PF16576.3_Barrel-sandwich domain of CusB or HlyD membrane-fusion	NULL	Nucleolus	HlyD_D23 is the combined domains 2 and 3 of the membrane-fusion proteins CusB and HlyD, which forms a barrel-sandwich. CusB and HlyD proteins are membrane fusion proteins of the CusCFBA copper efflux system in E.coli and related bacteria.  The whole molecule hinges between D2 and D3. Efflux systems of this resistance-nodulation-division group - RND - have been developed to excrete poisonous metal ions, and in E.coli the only one that deals with silver and copper is the CusA transporter. The transporter CusA works in conjunction with a periplasmic component that is a membrane fusion protein, eg CusB, and an outer-membrane channel component CusC in a CusABC complex driven by import of protons.	Produces a HlyD-D23 protein which is part of the Efflux pump membrane family. This is the combined domains 2 and 3 of the membrane fusion proteins CusB and HlyD, forming a barrel-sandwich CusB and HlyD are membrane fusion proteins of the CusCFBA copper efflux system, which excretes poisonous metal ions.	
ABO13150	A0A009SXL3 (Efflux transporter, outer membrane factor (OMF) lipo, NodT family protein OS=Acinetobacter baumannii 99063 GN=J529_1828 PE=3 SV=1)	PF02321.16_Outer membrane efflux protein	PROKAR_LIPOPROTEIN,PS51257;Prokaryotic membrane lipoprotein lipid attachment site profile(MATRIX)	Nucleolus	The OEP family (Outer membrane efflux protein) form trimeric channels that allow export of a variety of substrates in Gram negative bacteria.        Each member of this family is composed of two repeats. The trimeric channel is composed of a 12 stranded all beta sheet barrel that spans the outer membrane, and a long all helical barrel that spans the periplasm.	Produces a Efflux transporter, outermembrane factor (OMF) lipo and is a NodT family protein. It forms trimeric channels that allow export of a variety of substrates in Gram negative bacteria. 	
ABO12271	A0A009MY26 (Muconolactone Delta-isomerase OS=Acinetobacter sp. 1475718 GN=catC PE=3 SV=1)	PF02426.14_Muconolactone delta-isomerase	NULL	Nuclear pore complex	This small enzyme forms a homodecameric complex, that catalyses the third step in the catabolism of catechol to succinate- and acetyl-coa in the beta-ketoadipate pathway EC:5.3.3.4. The protein has a ferredoxin-like fold according to SCOP.	Produces a muconolactone Delta-isomerase. The enzyme is involved in a subpathway in the beta-ketoadipate pathway.	
ABO11116	A0A1L3IMP9 (Toxin of toxin-antitoxin system OS=Providencia stuartii GN=BGK56_20755 PE=4 SV=1)	PF12703.5_Toxin of toxin-antitoxin type 1 system	NULL	Nucleolus	This family is the toxin of a type 1 toxin-antitoxin system which is found in a relatively widespread range of bacterial species. The species distribution suggests frequent horizontal gene transfer.  In a type 1 system, as characterised for the plasmid-encoded E coli hok/sok system, the toxin-encoding stable mRNA encodes a protein which rapidly leads to cell death unless the translation is suppressed by a short-lived small RNA. The plasmid-encoded module prevents the growth of plasmid-free offspring, thus ensuring the persistence of the plasmid in the population. Plasmid-free cells arising after cell-division will be killed because the stable mRNA toxin is present while the comparably unstable anti-toxin is rapidly degraded. Where the system is transcribed chromosomally, the mechanism is poorly understood [1].	Produces a toxin in a toxin-antitoxin system. The toxin-antitoxin system is a set of genes that encode for botha protein poison and its antidote. This protein codes for the poison part. 	
